序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
1,接收,0,14:23:37.322.944 ,00:00:55.390.586 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
2,接收,0,14:23:37.324.736 ,00:00:00.001.792 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
3,接收,0,14:23:37.325.319 ,00:00:00.000.583 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
4,接收,0,14:23:37.326.736 ,00:00:00.001.417 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
5,接收,0,14:23:37.328.783 ,00:00:00.002.047 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
6,接收,0,14:23:37.334.732 ,00:00:00.005.949 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
7,接收,0,14:23:37.336.735 ,00:00:00.002.003 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
8,接收,0,14:23:37.464.464 ,00:00:00.127.729 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
9,接收,0,14:23:37.466.256 ,00:00:00.001.792 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
10,接收,0,14:23:37.466.840 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
11,接收,0,14:23:37.468.256 ,00:00:00.001.416 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
12,接收,0,14:23:37.470.303 ,00:00:00.002.047 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
13,接收,0,14:23:37.476.255 ,00:00:00.005.952 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
14,接收,0,14:23:37.605.409 ,00:00:00.129.154 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
15,接收,0,14:23:37.607.201 ,00:00:00.001.792 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
16,接收,0,14:23:37.607.785 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
17,接收,0,14:23:37.609.200 ,00:00:00.001.415 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
18,接收,0,14:23:37.611.248 ,00:00:00.002.048 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
