序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
1,接收,0,14:26:32.041.364 ,01:11:14.161.950 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
2,接收,0,14:26:32.043.160 ,00:00:00.001.796 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
3,接收,0,14:26:32.043.744 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
4,接收,0,14:26:32.045.160 ,00:00:00.001.416 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
5,接收,0,14:26:32.047.208 ,00:00:00.002.048 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
6,接收,0,14:26:32.053.156 ,00:00:00.005.948 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
7,接收,0,14:26:32.182.332 ,00:00:00.129.176 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
8,接收,0,14:26:32.184.124 ,00:00:00.001.792 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
9,接收,0,14:26:32.184.707 ,00:00:00.000.583 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
10,接收,0,14:26:32.186.123 ,00:00:00.001.416 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
11,接收,0,14:26:32.188.171 ,00:00:00.002.048 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
12,接收,0,14:26:32.194.123 ,00:00:00.005.952 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
13,接收,0,14:26:32.322.990 ,00:00:00.128.867 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
14,接收,0,14:26:32.324.782 ,00:00:00.001.792 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
15,接收,0,14:26:32.325.366 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
16,接收,0,14:26:32.326.781 ,00:00:00.001.415 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
17,接收,0,14:26:32.328.830 ,00:00:00.002.049 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
18,接收,0,14:26:32.334.782 ,00:00:00.005.952 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
19,接收,0,14:26:32.463.668 ,00:00:00.128.886 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
20,接收,0,14:26:32.465.460 ,00:00:00.001.792 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
21,接收,0,14:26:32.466.044 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
22,接收,0,14:26:32.467.460 ,00:00:00.001.416 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
23,接收,0,14:26:32.469.507 ,00:00:00.002.047 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
24,接收,0,14:26:32.475.460 ,00:00:00.005.953 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
25,接收,0,14:26:32.604.275 ,00:00:00.128.815 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
26,接收,0,14:26:32.606.067 ,00:00:00.001.792 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
27,接收,0,14:26:32.606.650 ,00:00:00.000.583 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
28,接收,0,14:26:32.608.067 ,00:00:00.001.417 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
29,接收,0,14:26:32.610.114 ,00:00:00.002.047 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
30,接收,0,14:26:32.616.067 ,00:00:00.005.953 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
31,接收,0,14:26:32.744.838 ,00:00:00.128.771 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
32,接收,0,14:26:32.746.630 ,00:00:00.001.792 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
33,接收,0,14:26:32.747.214 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
34,接收,0,14:26:32.748.630 ,00:00:00.001.416 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
35,接收,0,14:26:32.750.678 ,00:00:00.002.048 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
36,接收,0,14:26:32.756.626 ,00:00:00.005.948 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
37,接收,0,14:26:32.758.630 ,00:00:00.002.004 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
38,接收,0,14:26:32.759.218 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
39,接收,0,14:26:32.764.650 ,00:00:00.005.432 ,0x18FEDF00,数据帧,扩展帧,08,7d e0 15 ff 7d 00 00 ff ,
40,接收,0,14:26:32.766.618 ,00:00:00.001.968 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
41,接收,0,14:26:32.767.206 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
42,接收,0,14:26:32.768.629 ,00:00:00.001.423 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
43,接收,0,14:26:32.769.202 ,00:00:00.000.573 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
44,接收,0,14:26:32.774.714 ,00:00:00.005.512 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
45,接收,0,14:26:32.776.634 ,00:00:00.001.920 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
46,接收,0,14:26:32.778.637 ,00:00:00.002.003 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
47,接收,0,14:26:32.782.737 ,00:00:00.004.100 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
48,接收,0,14:26:32.786.629 ,00:00:00.003.892 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
49,接收,0,14:26:32.788.633 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
50,接收,0,14:26:32.790.729 ,00:00:00.002.096 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
51,接收,0,14:26:32.792.857 ,00:00:00.002.128 ,0x18ECFF00,数据帧,扩展帧,08,20 22 00 05 ff e3 fe 00 ,
52,接收,0,14:26:32.793.445 ,00:00:00.000.588 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
53,接收,0,14:26:32.796.633 ,00:00:00.003.188 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
54,接收,0,14:26:32.797.216 ,00:00:00.000.583 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
55,接收,0,14:26:32.798.632 ,00:00:00.001.416 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
56,接收,0,14:26:32.799.220 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
57,接收,0,14:26:32.804.777 ,00:00:00.005.557 ,0x18FEEF00,数据帧,扩展帧,08,ff ff ff 32 ff ff ff ff ,
58,接收,0,14:26:32.806.624 ,00:00:00.001.847 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
59,接收,0,14:26:32.807.212 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
60,接收,0,14:26:32.808.632 ,00:00:00.001.420 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
61,接收,0,14:26:32.809.212 ,00:00:00.000.580 ,0x18FFA200,数据帧,扩展帧,08,ff f1 01 ff ff 00 ff ff ,
62,接收,0,14:26:32.814.644 ,00:00:00.005.432 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
63,接收,0,14:26:32.816.636 ,00:00:00.001.992 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
64,接收,0,14:26:32.817.227 ,00:00:00.000.591 ,0x18FEE900,数据帧,扩展帧,08,00 00 00 00 00 00 00 00 ,
65,接收,0,14:26:32.818.639 ,00:00:00.001.412 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
66,接收,0,14:26:32.822.807 ,00:00:00.004.168 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
67,接收,0,14:26:32.826.631 ,00:00:00.003.824 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
68,接收,0,14:26:32.828.635 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
69,接收,0,14:26:32.830.663 ,00:00:00.002.028 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
70,接收,0,14:26:32.836.635 ,00:00:00.005.972 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
71,接收,0,14:26:32.838.635 ,00:00:00.002.000 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
72,接收,0,14:26:32.839.223 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
73,接收,0,14:26:32.844.791 ,00:00:00.005.568 ,0x18EBFF00,数据帧,扩展帧,08,01 00 00 7d 00 00 7d 00 ,
74,接收,0,14:26:32.845.363 ,00:00:00.000.572 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
75,接收,0,14:26:32.846.627 ,00:00:00.001.264 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
76,接收,0,14:26:32.847.207 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f4 ff ff ff ff ,
77,接收,0,14:26:32.847.795 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
78,接收,0,14:26:32.848.634 ,00:00:00.000.839 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
79,接收,0,14:26:32.854.718 ,00:00:00.006.084 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
80,接收,0,14:26:32.856.638 ,00:00:00.001.920 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
81,接收,0,14:26:32.858.642 ,00:00:00.002.004 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
82,接收,0,14:26:32.862.742 ,00:00:00.004.100 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
83,接收,0,14:26:32.864.642 ,00:00:00.001.900 ,0x18FEED00,数据帧,扩展帧,08,b4 78 0a ff ff ff ff ff ,
84,接收,0,14:26:32.866.634 ,00:00:00.001.992 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
85,接收,0,14:26:32.868.638 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
86,接收,0,14:26:32.869.210 ,00:00:00.000.572 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
87,接收,0,14:26:32.870.734 ,00:00:00.001.524 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
88,接收,0,14:26:32.876.638 ,00:00:00.005.904 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
89,接收,0,14:26:32.878.638 ,00:00:00.002.000 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
90,接收,0,14:26:32.879.226 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
91,接收,0,14:26:32.886.630 ,00:00:00.007.404 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
92,接收,0,14:26:32.887.217 ,00:00:00.000.587 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
93,接收,0,14:26:32.888.638 ,00:00:00.001.421 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
94,接收,0,14:26:32.892.890 ,00:00:00.004.252 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
95,接收,0,14:26:32.894.650 ,00:00:00.001.760 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
96,接收,0,14:26:32.896.642 ,00:00:00.001.992 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
97,接收,0,14:26:32.897.229 ,00:00:00.000.587 ,0x18EBFF00,数据帧,扩展帧,08,02 00 7d 00 00 7d 00 00 ,
98,接收,0,14:26:32.897.809 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f4 ff ff ff ff ,
99,接收,0,14:26:32.898.645 ,00:00:00.000.836 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
100,接收,0,14:26:32.902.817 ,00:00:00.004.172 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
101,接收,0,14:26:32.906.633 ,00:00:00.003.816 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
102,接收,0,14:26:32.908.641 ,00:00:00.002.008 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
103,接收,0,14:26:32.909.220 ,00:00:00.000.579 ,0x18FFA200,数据帧,扩展帧,08,ff f1 01 ff ff 00 ff ff ,
104,接收,0,14:26:32.910.664 ,00:00:00.001.444 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
105,接收,0,14:26:32.916.640 ,00:00:00.005.976 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
106,接收,0,14:26:32.917.228 ,00:00:00.000.588 ,0x18FEE500,数据帧,扩展帧,08,00 00 00 00 ff ff ff ff ,
107,接收,0,14:26:32.918.640 ,00:00:00.001.412 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
108,接收,0,14:26:32.919.228 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
109,接收,0,14:26:32.926.632 ,00:00:00.007.404 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
110,接收,0,14:26:32.927.220 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
111,接收,0,14:26:32.928.640 ,00:00:00.001.420 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
112,接收,0,14:26:32.934.724 ,00:00:00.006.084 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
113,接收,0,14:26:32.936.644 ,00:00:00.001.920 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
114,接收,0,14:26:32.938.648 ,00:00:00.002.004 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
115,接收,0,14:26:32.942.748 ,00:00:00.004.100 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
116,接收,0,14:26:32.944.784 ,00:00:00.002.036 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
117,接收,0,14:26:32.946.636 ,00:00:00.001.852 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
118,接收,0,14:26:32.947.216 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f4 ff ff ff ff ,
119,接收,0,14:26:32.948.640 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
120,接收,0,14:26:32.949.215 ,00:00:00.000.575 ,0x18EBFF00,数据帧,扩展帧,08,03 7d 00 00 00 00 e2 04 ,
121,接收,0,14:26:32.950.764 ,00:00:00.001.549 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
122,接收,0,14:26:32.956.643 ,00:00:00.005.879 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
123,接收,0,14:26:32.958.643 ,00:00:00.002.000 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
124,接收,0,14:26:32.959.231 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
125,接收,0,14:26:32.966.632 ,00:00:00.007.401 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
126,接收,0,14:26:32.967.220 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
127,接收,0,14:26:32.968.643 ,00:00:00.001.423 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
128,接收,0,14:26:32.969.215 ,00:00:00.000.572 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
129,接收,0,14:26:32.974.655 ,00:00:00.005.440 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
130,接收,0,14:26:32.976.643 ,00:00:00.001.988 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
131,接收,0,14:26:32.978.651 ,00:00:00.002.008 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
132,接收,0,14:26:32.982.819 ,00:00:00.004.168 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
133,接收,0,14:26:32.986.639 ,00:00:00.003.820 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
134,接收,0,14:26:32.988.643 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
135,接收,0,14:26:32.990.671 ,00:00:00.002.028 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
136,接收,0,14:26:32.992.895 ,00:00:00.002.224 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
137,接收,0,14:26:32.996.647 ,00:00:00.003.752 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
138,接收,0,14:26:32.997.227 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f4 ff ff ff ff ,
139,接收,0,14:26:32.998.647 ,00:00:00.001.420 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
140,接收,0,14:26:32.999.234 ,00:00:00.000.587 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
141,接收,0,14:26:33.000.830 ,00:00:00.001.596 ,0x18EBFF00,数据帧,扩展帧,08,04 00 00 00 00 00 7d 7d ,
142,接收,0,14:26:33.004.798 ,00:00:00.003.968 ,0x18FEA600,数据帧,扩展帧,08,e0 02 ff ff ff ff ff ff ,
143,接收,0,14:26:33.006.634 ,00:00:00.001.836 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
144,接收,0,14:26:33.007.222 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
145,接收,0,14:26:33.008.646 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
146,接收,0,14:26:33.009.226 ,00:00:00.000.580 ,0x18FFA200,数据帧,扩展帧,08,ff f1 01 ff ff 00 ff ff ,
