序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
1,接收,0,13:54:04.758.332 ,00:00:00.005.872 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
2,接收,0,13:54:04.760.332 ,00:00:00.002.000 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
3,接收,0,13:54:04.760.920 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
4,接收,0,13:54:04.768.325 ,00:00:00.007.405 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
5,接收,0,13:54:04.768.912 ,00:00:00.000.587 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
6,接收,0,13:54:04.770.333 ,00:00:00.001.421 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
7,接收,0,13:54:04.770.917 ,00:00:00.000.584 ,0x18EBFF00,数据帧,扩展帧,08,04 00 00 00 00 00 7d 7d ,
8,接收,0,13:54:04.771.489 ,00:00:00.000.572 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
9,接收,0,13:54:04.776.345 ,00:00:00.004.856 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
10,接收,0,13:54:04.778.334 ,00:00:00.001.989 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
11,接收,0,13:54:04.780.342 ,00:00:00.002.008 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
12,接收,0,13:54:04.784.514 ,00:00:00.004.172 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
13,接收,0,13:54:04.788.330 ,00:00:00.003.816 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
14,接收,0,13:54:04.790.335 ,00:00:00.002.005 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
15,接收,0,13:54:04.792.359 ,00:00:00.002.024 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
16,接收,0,13:54:04.794.599 ,00:00:00.002.240 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
17,接收,0,13:54:04.798.335 ,00:00:00.003.736 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
18,接收,0,13:54:04.798.915 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
19,接收,0,13:54:04.800.335 ,00:00:00.001.420 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
20,接收,0,13:54:04.800.923 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
21,接收,0,13:54:04.806.500 ,00:00:00.005.577 ,0x18FEA600,数据帧,扩展帧,08,e0 02 ff ff ff ff ff ff ,
22,接收,0,13:54:04.808.324 ,00:00:00.001.824 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
23,接收,0,13:54:04.808.912 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
24,接收,0,13:54:04.810.336 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
25,接收,0,13:54:04.810.917 ,00:00:00.000.581 ,0x18FFA200,数据帧,扩展帧,08,ff f1 05 ff ff 00 ff ff ,
