序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
1,接收,0,13:45:07.882.927 ,00:02:23.871.129 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
2,接收,0,13:45:07.884.722 ,00:00:00.001.795 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
3,接收,0,13:45:07.885.307 ,00:00:00.000.585 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
4,接收,0,13:45:07.886.722 ,00:00:00.001.415 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
5,接收,0,13:45:07.888.770 ,00:00:00.002.048 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
6,接收,0,13:45:07.894.718 ,00:00:00.005.948 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
7,接收,0,13:45:08.024.422 ,00:00:00.129.704 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
8,接收,0,13:45:08.026.213 ,00:00:00.001.791 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
9,接收,0,13:45:08.026.797 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
10,接收,0,13:45:08.028.213 ,00:00:00.001.416 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
11,接收,0,13:45:08.030.261 ,00:00:00.002.048 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
12,接收,0,13:45:08.036.213 ,00:00:00.005.952 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
13,接收,0,13:45:08.165.900 ,00:00:00.129.687 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
14,接收,0,13:45:08.167.692 ,00:00:00.001.792 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
15,接收,0,13:45:08.168.275 ,00:00:00.000.583 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
16,接收,0,13:45:08.169.691 ,00:00:00.001.416 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
17,接收,0,13:45:08.171.739 ,00:00:00.002.048 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
18,接收,0,13:45:08.177.691 ,00:00:00.005.952 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
19,接收,0,13:45:08.306.993 ,00:00:00.129.302 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
20,接收,0,13:45:08.308.784 ,00:00:00.001.791 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
