序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
1,接收,0,14:02:12.870.273 ,01:07:27.514.246 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
2,接收,0,14:02:12.872.069 ,00:00:00.001.796 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
3,接收,0,14:02:12.872.653 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
4,接收,0,14:02:12.874.069 ,00:00:00.001.416 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
5,接收,0,14:02:12.876.116 ,00:00:00.002.047 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
6,接收,0,14:02:12.882.064 ,00:00:00.005.948 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
7,接收,0,14:02:13.011.659 ,00:00:00.129.595 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
8,接收,0,14:02:13.013.450 ,00:00:00.001.791 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
9,接收,0,14:02:13.014.034 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
10,接收,0,14:02:13.015.450 ,00:00:00.001.416 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
11,接收,0,14:02:13.017.497 ,00:00:00.002.047 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
12,接收,0,14:02:13.023.450 ,00:00:00.005.953 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
13,接收,0,14:02:13.152.562 ,00:00:00.129.112 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
14,接收,0,14:02:13.154.354 ,00:00:00.001.792 ,0x0CF00400,数据帧,扩展帧,08,fe 7d 7d 00 00 00 ff ff ,
15,接收,0,14:02:13.154.938 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
16,接收,0,14:02:13.156.353 ,00:00:00.001.415 ,0x0CF00300,数据帧,扩展帧,08,c1 00 64 ff ff ff ff ff ,
17,接收,0,14:02:13.158.401 ,00:00:00.002.048 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
18,接收,0,14:02:13.164.354 ,00:00:00.005.953 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
19,接收,0,14:02:13.166.357 ,00:00:00.002.003 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
20,接收,0,14:02:13.166.945 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
21,接收,0,14:02:13.172.373 ,00:00:00.005.428 ,0x18FEDF00,数据帧,扩展帧,08,7d e0 15 ff 7d 00 00 ff ,
22,接收,0,14:02:13.174.341 ,00:00:00.001.968 ,0x0CF00400,数据帧,扩展帧,08,f4 7d 7d 00 00 00 ff ff ,
23,接收,0,14:02:13.174.929 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
24,接收,0,14:02:13.176.357 ,00:00:00.001.428 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
25,接收,0,14:02:13.176.928 ,00:00:00.000.571 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
26,接收,0,14:02:13.182.437 ,00:00:00.005.509 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
27,接收,0,14:02:13.184.357 ,00:00:00.001.920 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
28,接收,0,14:02:13.186.360 ,00:00:00.002.003 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
29,接收,0,14:02:13.190.464 ,00:00:00.004.104 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
30,接收,0,14:02:13.194.352 ,00:00:00.003.888 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
31,接收,0,14:02:13.196.356 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
32,接收,0,14:02:13.198.452 ,00:00:00.002.096 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
33,接收,0,14:02:13.200.584 ,00:00:00.002.132 ,0x18ECFF00,数据帧,扩展帧,08,20 22 00 05 ff e3 fe 00 ,
34,接收,0,14:02:13.201.172 ,00:00:00.000.588 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
35,接收,0,14:02:13.204.356 ,00:00:00.003.184 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
36,接收,0,14:02:13.204.940 ,00:00:00.000.584 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f0 ff ff ff ff ,
37,接收,0,14:02:13.206.360 ,00:00:00.001.420 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
38,接收,0,14:02:13.206.948 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
39,接收,0,14:02:13.212.503 ,00:00:00.005.555 ,0x18FEEF00,数据帧,扩展帧,08,ff ff ff 32 ff ff ff ff ,
40,接收,0,14:02:13.214.348 ,00:00:00.001.845 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
41,接收,0,14:02:13.214.936 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
42,接收,0,14:02:13.216.359 ,00:00:00.001.423 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
43,接收,0,14:02:13.216.939 ,00:00:00.000.580 ,0x18FFA200,数据帧,扩展帧,08,ff f1 01 ff ff 00 ff ff ,
44,接收,0,14:02:13.222.371 ,00:00:00.005.432 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
45,接收,0,14:02:13.224.359 ,00:00:00.001.988 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
46,接收,0,14:02:13.224.951 ,00:00:00.000.592 ,0x18FEE900,数据帧,扩展帧,08,00 00 00 00 00 00 00 00 ,
47,接收,0,14:02:13.226.363 ,00:00:00.001.412 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
48,接收,0,14:02:13.230.531 ,00:00:00.004.168 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
49,接收,0,14:02:13.234.355 ,00:00:00.003.824 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
50,接收,0,14:02:13.236.359 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
51,接收,0,14:02:13.238.387 ,00:00:00.002.028 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
52,接收,0,14:02:13.244.359 ,00:00:00.005.972 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
53,接收,0,14:02:13.246.363 ,00:00:00.002.004 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
54,接收,0,14:02:13.246.951 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
55,接收,0,14:02:13.252.515 ,00:00:00.005.564 ,0x18EBFF00,数据帧,扩展帧,08,01 00 00 7d 00 00 7d 00 ,
56,接收,0,14:02:13.253.087 ,00:00:00.000.572 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
57,接收,0,14:02:13.254.351 ,00:00:00.001.264 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
58,接收,0,14:02:13.254.930 ,00:00:00.000.579 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f4 ff ff ff ff ,
