序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
1,接收,0,11:17:24.602.609 ,00:00:00.002.236 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
2,接收,0,11:17:24.606.349 ,00:00:00.003.740 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
3,接收,0,11:17:24.606.929 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
4,接收,0,11:17:24.608.349 ,00:00:00.001.420 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
5,接收,0,11:17:24.608.937 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
6,接收,0,11:17:24.614.509 ,00:00:00.005.572 ,0x18FEF600,数据帧,扩展帧,08,ff 2e 41 ff ff ff ff ff ,
7,接收,0,11:17:24.616.337 ,00:00:00.001.828 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
8,接收,0,11:17:24.616.925 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
9,接收,0,11:17:24.618.349 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
10,接收,0,11:17:24.618.929 ,00:00:00.000.580 ,0x18FFA200,数据帧,扩展帧,08,ff f1 00 ff ff 00 ff ff ,
11,接收,0,11:17:24.624.341 ,00:00:00.005.412 ,0x18FEED00,数据帧,扩展帧,08,b4 78 0a ff ff ff ff ff ,
12,接收,0,11:17:24.624.929 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
13,接收,0,11:17:24.626.349 ,00:00:00.001.420 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
14,接收,0,11:17:24.628.356 ,00:00:00.002.007 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
15,接收,0,11:17:24.632.453 ,00:00:00.004.097 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
16,接收,0,11:17:24.636.345 ,00:00:00.003.892 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
17,接收,0,11:17:24.638.349 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
18,接收,0,11:17:24.640.457 ,00:00:00.002.108 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
19,接收,0,11:17:24.646.349 ,00:00:00.005.892 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
20,接收,0,11:17:24.648.349 ,00:00:00.002.000 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
21,接收,0,11:17:24.648.937 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
22,接收,0,11:17:24.654.510 ,00:00:00.005.573 ,0x18FEF100,数据帧,扩展帧,08,ff 00 00 40 00 1e 1f ff ,
23,接收,0,11:17:24.656.341 ,00:00:00.001.831 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
24,接收,0,11:17:24.656.922 ,00:00:00.000.581 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
25,接收,0,11:17:24.657.509 ,00:00:00.000.587 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
26,接收,0,11:17:24.658.349 ,00:00:00.000.840 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
27,接收,0,11:17:24.664.361 ,00:00:00.006.012 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
28,接收,0,11:17:24.666.354 ,00:00:00.001.993 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
29,接收,0,11:17:24.668.358 ,00:00:00.002.004 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
30,接收,0,11:17:24.672.533 ,00:00:00.004.175 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
31,接收,0,11:17:24.676.346 ,00:00:00.003.813 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
32,接收,0,11:17:24.678.350 ,00:00:00.002.004 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
33,接收,0,11:17:24.678.922 ,00:00:00.000.572 ,0x18F00029,数据帧,扩展帧,08,c0 7d ff ff ff ff ff 75 ,
34,接收,0,11:17:24.680.377 ,00:00:00.001.455 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
35,接收,0,11:17:24.686.354 ,00:00:00.005.977 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
36,接收,0,11:17:24.688.354 ,00:00:00.002.000 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
37,接收,0,11:17:24.688.942 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
38,接收,0,11:17:24.696.342 ,00:00:00.007.400 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
39,接收,0,11:17:24.696.930 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
40,接收,0,11:17:24.698.354 ,00:00:00.001.424 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
41,接收,0,11:17:24.702.619 ,00:00:00.004.265 ,0x18FEF200,数据帧,扩展帧,08,00 00 00 00 00 00 00 ff ,
42,接收,0,11:17:24.704.447 ,00:00:00.001.828 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
43,接收,0,11:17:24.706.355 ,00:00:00.001.908 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
44,接收,0,11:17:24.706.935 ,00:00:00.000.580 ,0x18FF2100,数据帧,扩展帧,08,fa fc ff f5 ff ff ff ff ,
45,接收,0,11:17:24.708.359 ,00:00:00.001.424 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
46,接收,0,11:17:24.712.463 ,00:00:00.004.104 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
47,接收,0,11:17:24.716.347 ,00:00:00.003.884 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
